STANDARD ACCESSIBILITES FOR PROBE 1.40 AND RADII vdw.radii 
ATOM S   2  ALA  107.89  98.8  69.23  97.8   0.00   0.0  69.23  97.8  38.66 100.7
ATOM S   2  CYS  134.34  98.6  96.69  98.4   0.00   0.0  96.69  98.4  37.64  99.3
ATOM S   2  ASP  140.41  99.4  48.04  97.1  54.55 101.4 102.60  99.3  37.82  99.4
ATOM S   2  GLU  172.23  98.7  58.88  96.2  75.73 100.4 134.61  98.5  37.61  99.4
ATOM S   2  PHE  199.30  99.8 163.90  99.6   0.00   0.0 163.90  99.6  35.40 100.5
ATOM S   2  GLY   80.36  99.0  32.28  97.4   0.00   0.0  32.28  97.4  48.08 100.0
ATOM S   2  HIS  182.89  99.5  96.11  99.7  50.89  98.1 147.00  99.2  35.89 100.8
ATOM S   2  ILE  175.18  98.8 137.94  98.7   0.00   0.0 137.94  98.7  37.23  99.4
ATOM S   2  LYS  200.11  98.0 114.62  96.8  47.88 100.0 162.50  97.7  37.61  99.4
ATOM S   2  LEU  178.37  98.9 140.76  98.8   0.00   0.0 140.76  98.8  37.61  99.4
ATOM S   2  MET  193.69  98.3 156.08  98.0   0.00   0.0 156.08  98.0  37.61  99.4
ATOM S   2  ASN  144.07  99.4  44.96  99.9  61.28  99.0 106.25  99.4  37.82  99.4
ATOM S   2  ASX  144.07  99.4  44.96  99.9  61.28  99.0 106.25  99.4  37.82  99.4
ATOM S   2  PRO  135.83  96.4 119.65  99.6   0.00   0.0 119.65  99.6  16.18  77.8
ATOM S   2  GLN  178.19  98.7  50.70  96.5  89.88  99.6 140.58  98.5  37.61  99.4
ATOM S   2  GLX  178.19  98.7  50.70  96.5  89.88  99.6 140.58  98.5  37.61  99.4
ATOM S   2  ARG  237.97  97.9  75.87  95.2 124.49  99.2 200.35  97.6  37.61  99.4
ATOM S   2  SER  116.53  98.6  46.83  97.2  31.33  99.7  78.16  98.2  38.37  99.4
ATOM S   2  THR  139.25  98.0  74.59  97.9  27.08  96.6 101.67  97.5  37.59  99.4
ATOM S   2  VAL  151.46  98.8 114.14  98.5   0.00   0.0 114.14  98.5  37.32  99.6
ATOM S   2  TRP  249.05 100.4 187.17 100.7  23.72 100.1 210.89 100.6  38.16  99.0
ATOM S   2  TYR  212.03  99.9 134.61  99.8  42.00  99.5 176.61  99.7  35.42 100.7
ATOM S   2  ACE  114.32 100.0  76.54 100.0   0.00   0.0  76.54 100.0  37.78 100.0


